               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034585,            0.023396,            0.012052,             0.63529,             0.77291,             0.67553,             0.47208,            0.035386,             0.01738,            0.015289,            0.002872,            0.002872,            0.002872
                  38,            0.033779,            0.025626,            0.012553,             0.66848,             0.72892,             0.67798,             0.46917,            0.035565,            0.017251,            0.015416,            0.002674,            0.002674,            0.002674
                  39,            0.032151,            0.022383,            0.011474,              0.7004,             0.68682,             0.67712,              0.4648,            0.036662,             0.01735,            0.015131,            0.002476,            0.002476,            0.002476
                  40,            0.033132,            0.022643,            0.012254,             0.67203,             0.73188,             0.68354,             0.49116,            0.035696,            0.017131,            0.015374,            0.002278,            0.002278,            0.002278
                  41,            0.033507,            0.023737,            0.011039,             0.65439,             0.74703,             0.67767,             0.47874,             0.03561,            0.017314,            0.015762,             0.00208,             0.00208,             0.00208
                  42,            0.033785,            0.024684,            0.011514,             0.68272,              0.6975,             0.66677,             0.46989,            0.035873,            0.017861,            0.016147,            0.001882,            0.001882,            0.001882
                  43,            0.031055,            0.023005,            0.010697,             0.65024,             0.70353,             0.66045,             0.48117,             0.03543,            0.018065,            0.015942,            0.001684,            0.001684,            0.001684
                  44,            0.031641,            0.020742,             0.01188,             0.66241,             0.71733,             0.66278,             0.47594,            0.035666,            0.018442,            0.015653,            0.001486,            0.001486,            0.001486
                  45,            0.032184,            0.022156,            0.011414,              0.6624,             0.73011,             0.65832,             0.46916,            0.035672,             0.01818,            0.015792,            0.001288,            0.001288,            0.001288
                  46,            0.031563,             0.02305,            0.011259,             0.66325,             0.75117,             0.66338,             0.47898,            0.035652,            0.018255,            0.015841,             0.00109,             0.00109,             0.00109
                  47,            0.031811,            0.022051,              0.0103,             0.68115,             0.74783,             0.67071,             0.48502,            0.036107,            0.018322,            0.015785,            0.000892,            0.000892,            0.000892
                  48,            0.031846,            0.022866,            0.011284,             0.66526,             0.74647,             0.67531,             0.48845,            0.036005,            0.018172,            0.015705,            0.000694,            0.000694,            0.000694
                  49,            0.030129,            0.020541,             0.01093,             0.65536,             0.74485,             0.66749,             0.48758,            0.035586,            0.018047,            0.015657,            0.000496,            0.000496,            0.000496
